"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_add_negative","","Tue Jun 24 02:55:15 GMT 2025","passed","Tue Jun 24 02:55:15 GMT 2025","","test_mymath","",""
"","0","test_add_positive","","Tue Jun 24 02:55:15 GMT 2025","failed","Tue Jun 24 02:55:15 GMT 2025","","test_mymath","",""
"","0","test_add_zero","","Tue Jun 24 02:55:15 GMT 2025","passed","Tue Jun 24 02:55:15 GMT 2025","","test_mymath","",""
"","0","test_add_string__expect_exception","","Tue Jun 24 02:55:15 GMT 2025","passed","Tue Jun 24 02:55:15 GMT 2025","","test_mymath","",""
